textID,sentiment,author,text,old_text,aux_id,new_sentiment,selected_text
1956967341,empty,xoshayzers, i know  i was listenin to bad habit earlier and i started freakin at his part =[,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[,p1000000000,,
1956967666,sadness,wannamama,Layin n bed with a headache  ughhhh...waitin on your call...,Layin n bed with a headache  ughhhh...waitin on your call...,c811396dc2,negative,headache
1956967696,sadness,coolfunky,Funeral ceremony...gloomy friday...,Funeral ceremony...gloomy friday...,9063631ab1,negative,gloomy
1956967789,enthusiasm,czareaquino,wants to hang out with friends SOON!,wants to hang out with friends SOON!,2a815f151d,positive,wants to hang out with friends SOON!
1956968416,neutral,xkilljoyx," We want to trade with someone who has Houston tickets, but no one will.","@dannycastillo We want to trade with someone who has Houston tickets, but no one will.",82565a56d3,neutral,"We want to trade with someone who has Houston tickets, but no one will."
1956968477,worry,xxxPEACHESxxx,Re-pinging : why didn`t you go to prom? BC my bf didn`t like my friends,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,a610d6b25b,negative,didn`t like my
1956968487,sadness,ShansBee,"I should be sleep, but im not! thinking about an old friend who I want. but he`s married now. ****, & he wants me 2! scandalous!","I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",p1000000001,,
1956968636,worry,mcsleazy,Hmmm. http://www.djhero.com/ is down,Hmmm. http://www.djhero.com/ is down,2dfbe0b7fb,negative,
1956969035,sadness,nic0lepaula, Charlene my love. I miss you,@charviray Charlene my love. I miss you,cc22eca4c5,negative,Charlene my love. I miss you
1956969172,sadness,Ingenue_Em, I`m sorry  at least it`s Friday?,@kelcouch I'm sorry  at least it's Friday?,6d846d7d50,negative,
1956969456,neutral,feinyheiny,cant fall asleep,cant fall asleep,246a76f214,neutral,cant fall asleep
1956969531,worry,dudeitsmanda,Choked on her retainers,Choked on her retainers,133109505a,negative,Choked on her retainers
1956970047,sadness,Danied32,Ugh! I have to beat this stupid song to get to the next  rude!,Ugh! I have to beat this stupid song to get to the next  rude!,f9592a798a,negative,Ugh!
1956970424,sadness,Samm_xo, if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,d60b07133a,negative,realise what tourture
1956970860,surprise,okiepeanut93,Got the news,Got the news,f023803c3e,neutral,Got the news
1956971077,sadness,Sim_34,The storm is here and the electricity is gone,The storm is here and the electricity is gone,p1000000002,,
1956971170,love,poppygallico, agreed,@annarosekerr agreed,768801365c,neutral,agreed
1956971206,sadness,brokenangel1982,So sleepy again and it`s not even that late. I fail once again.,So sleepy again and it's not even that late. I fail once again.,7d41c25c44,negative,fail
1956971473,worry,LCJ82, lady gaga tweeted about not being impressed by her video leaking just so you know,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,23f0f2d1f3,negative,not being impressed
1956971586,sadness,cleepow,How are YOU convinced that I have always wanted you? What signals did I give off...**** I think I just lost another friend,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,9dd55e8b0e,negative,I think I just lost an
1956971981,worry,andreagauster, oh too bad! I hope it gets better. I`ve been having sleep issues lately too,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too,ce2c823958,neutral,oh too bad! I hope it gets better. I`ve been having sleep issues lately too
1956972097,fun,schiz0phren1c,"Wondering why I`m awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh **** it,not secret anymore","Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore",b7bd030e8e,neutral,"Wondering why I`m awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh **** it,not secret anymore"
1956972116,neutral,jansc,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via ) #topicmaps,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps,p1000000003,,
1956972270,worry,sweet8181,I ate Something I don`t know what it is... Why do I keep Telling things about food,I ate Something I don't know what it is... Why do I keep Telling things about food,327f378bd9,neutral,
1956972359,sadness,xamountoftruth,so tired and i think i`m definitely going to get an ear infection.  going to bed 'early' for once.,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,p1000000004,,
1956972444,worry,jomama6881,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......**** i feel old,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,daa811318a,negative,**** i feel old
1956972557,sadness,LilithGaea,"  i`m sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!","@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",a88287bbda,negative,m sorry
1956972884,worry,oONEPTUNEOo,Damm servers still down  i need to hit 80 before all the koxpers pass me,Damm servers still down  i need to hit 80 before all the koxpers pass me,30fab0da46,negative,down
1956973598,sadness,username_origin,Fudge.... Just BS`d that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,27d14f5c13,negative,Ugh
1956973690,worry,catchtheapple,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,d7b5f796b9,negative,I HATE CANCER. I HATE IT I HATE IT I HATE IT.
1956974706,hate,MavrickAces,It is so annoying when she starts typing on her computer in the middle of the night!,It is so annoying when she starts typing on her computer in the middle of the night!,a1a247dea2,negative,annoying
1956975441,neutral,LovableKeKe,_123 i cant sleep,@cynthia_123 i cant sleep,0828ad29fe,negative,cant sleep
1956975860,neutral,analalalah,I missed the bl***y bus!!!!!!!!,I missed the bl***y bus!!!!!!!!,b9bf73e93a,negative,missed th
1956975876,neutral,jubaldo,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,b622ed93ab,neutral,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk
1956975927,neutral,mikhaelaela,SoCal!  stoked. or maybe not.. tomorrow,SoCal!  stoked. or maybe not.. tomorrow,7209a17dde,neutral,SoCal!  stoked. or maybe not.. tomorrow
1956976187,neutral,ivoflipse5,Screw you ! I only have 3 weeks...,Screw you @davidbrussee! I only have 3 weeks...,p1000000005,,
