textID,text,selected_text,sentiment
cb774db0d1," I`d have responded, if I were going","I`d have responded, if I were going",neutral
new_cb774db0d1_0,I`d have reply if I were going,I`d have reply if I were going,neutral
new_cb774db0d1_1,"I`d have responded, if I were sound","I`d have responded, if I were sound",neutral
new_cb774db0d1_2,"I`d have responded, if I were going","I`d have responded, if I were going",neutral
new_cb774db0d1_3,"have I`d responded, if I were sound","have I`d responded, if I were sound",neutral
549e992a42, Sooo SAD I will miss you here in San Diego!!!,Sooo SAD,negative
new_549e992a42_0,Sooo SAD I will omit you here in San Diego,Sooo SAD,negative
new_549e992a42_1,Sooo distressing I will fille you here in San Diego,Sooo distressing,negative
new_549e992a42_2, SAD Sooo I will miss you here in San Diego!!!,SAD Sooo,negative
new_549e992a42_3,Sooo SAD I will omit you here San in Diego,Sooo SAD,negative
new_549e992a42_4,I Sooo distressing will fille you here in San Diego,Sooo distressing,negative
088c60f138,my boss is bullying me...,bullying me,negative
new_088c60f138_0,my boss is bullying me ,bullying me,negative
new_088c60f138_1,my boss is hector me ...,hector me,negative
new_088c60f138_2,my boss is me bullying...,me bullying,negative
new_088c60f138_3,my is boss bullying me,bullying me,negative
new_088c60f138_4,my boss hector me is ...,hector me,negative
9642c003ef, what interview! leave me alone,leave me alone,negative
new_9642c003ef_0,what interview forget me unaccompanied,forget me unaccompanied,negative
new_9642c003ef_1,what consultation leave taking me alone,leave taking me alone,negative
new_9642c003ef_2,interview! what leave me alone,leave me alone,negative
new_9642c003ef_3,interview what forget me unaccompanied,forget me unaccompanied,negative
new_9642c003ef_4,what consultation leave me taking alone,leave me taking alone,negative
358bd9e861," Sons of ****, why couldn`t they put them on the releases we already bought","Sons of ****,",negative
new_358bd9e861_0,"Sons of ****, why couldn`t they invest them on the releases we already bought","Sons of ****,",negative
new_358bd9e861_1,"Sons of ****, why couldn`t they lay them on the releases we already bought","Sons of ****,",negative
new_358bd9e861_2," Sons ****, of why couldn`t they put them on the releases we already bought","Sons ****, of",negative
new_358bd9e861_3,"Sons of ****, why they couldn`t invest them on the releases we already bought","Sons of ****,",negative
new_358bd9e861_4,"Sons of ****, why couldn`t they lay them on the we releases already bought","Sons of ****,",negative
28b57f3990,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral
new_28b57f3990_0,httpwwwdothebouncycomsmf - some shameless plugging for the best commando forum on solid ground,httpwwwdothebouncycomsmf - some shameless plugging for the best commando forum on solid ground,neutral
new_28b57f3990_1,httpwwwdothebouncycomsmf - some unblushing plug for the best fire warden assembly on earth,httpwwwdothebouncycomsmf - some unblushing plug for the best fire warden assembly on earth,neutral
new_28b57f3990_2,http://www.dothebouncy.com/smf - some shameless plugging for the Rangers best forum on earth,http://www.dothebouncy.com/smf - some shameless plugging for the Rangers best forum on earth,neutral
new_28b57f3990_3,httpwwwdothebouncycomsmf - some shameless plugging for the best forum commando on solid ground,httpwwwdothebouncycomsmf - some shameless plugging for the best forum commando on solid ground,neutral
6e0c6d75b1,2am feedings for the baby are fun when he is all smiles and coos,fun,positive
new_6e0c6d75b1_0,2am alimentation for the baby are fun when he is all grinning and coos,fun,positive
new_6e0c6d75b1_1,2am feedings for the baby are sport when he is all smiling and coo,sport,positive
new_6e0c6d75b1_2,2am feedings for the baby are fun he when is all smiles and coos,fun,positive
new_6e0c6d75b1_3,2am alimentation for baby the are fun when he is all grinning and coos,fun,positive
new_6e0c6d75b1_4,2am feedings for the baby are sport when he is smiling all and coo,sport,positive
50e14c0bb8,Soooo high,Soooo high,neutral
new_50e14c0bb8_0,high Soooo,high Soooo,neutral
e050245fbd, Both of you,Both of you,neutral
new_e050245fbd_0,Both of you,Both of you,neutral
